호선,역명,승강장번호,상하행,지상구분,역층,승강장연결여부,스크린도어유무,안전발판유무
1,동대문,1,상행,지하,2,TRUE,TRUE,TRUE
1,동대문,2,하행,지하,2,TRUE,TRUE,TRUE
1,동묘앞,1,상행,지하,2,TRUE,TRUE,TRUE
1,동묘앞,2,하행,지하,2,TRUE,TRUE,TRUE
1,서울역,1,상행,지하,2,TRUE,TRUE,TRUE
1,서울역,2,하행,지하,2,TRUE,TRUE,TRUE
1,시청,1,상행,지하,2,TRUE,TRUE,TRUE
1,시청,2,하행,지하,2,TRUE,TRUE,TRUE
1,신설동,2,하행,지하,2,TRUE,TRUE,TRUE
1,신설동,1,상행,지하,2,TRUE,TRUE,TRUE
1,제기동,2,하행,지하,2,TRUE,TRUE,TRUE
1,제기동,1,상행,지하,2,TRUE,TRUE,TRUE
1,종각,2,하행,지하,2,FALSE,TRUE,TRUE
1,종각,1,상행,지하,2,FALSE,TRUE,TRUE
1,종로3가,2,하행,지하,2,TRUE,TRUE,TRUE
1,종로3가,1,상행,지하,2,TRUE,TRUE,TRUE
1,종로5가,1,상행,지하,2,TRUE,TRUE,TRUE
1,종로5가,2,하행,지하,2,TRUE,TRUE,TRUE
1,청량리,2,하행,지하,2,TRUE,TRUE,TRUE
1,청량리,1,상행,지하,2,TRUE,TRUE,TRUE
2,강남,2,하행,지하,2,TRUE,TRUE,TRUE
2,강남,1,상행,지하,2,TRUE,TRUE,TRUE
2,강변,1,상행,지상,2,TRUE,TRUE,TRUE
2,강변,2,하행,지상,2,TRUE,TRUE,TRUE
2,건대입구,1,상행,지상,2,TRUE,TRUE,TRUE
2,건대입구,2,하행,지상,2,TRUE,TRUE,TRUE
2,교대,1,상행,지하,2,FALSE,TRUE,TRUE
2,교대,2,하행,지하,2,FALSE,TRUE,TRUE
2,구로디지털단지,1,상행,지상,2,TRUE,TRUE,TRUE
2,구로디지털단지,2,하행,지상,2,TRUE,TRUE,TRUE
2,구의,2,하행,지상,2,FALSE,TRUE,TRUE
2,구의,1,상행,지상,2,FALSE,TRUE,TRUE
