연번,호선,역명,호기,승강기번호,설치위치,운행구간
0,1,서울역,내부#1,0074-205,"시청 방면5-1, B2-B1",B2-B1
1,1,서울역,외부#1,0104-656,"2번 출구 측, B1-1F",B1-1F
2,1,서울역,외부#2,0105-867,"4번 출구 측, B1-1F",B1-1F
3,1,서울역,외부#3,0073-979,"3번 출구 측, B1-1F",B1-1F
4,1,시청,내부#1,0002-888,"종각 방면3-2, B2-B1",B2-B1
5,1,시청,내부#2,0002-887,"서울역 방면8-3, B2-B1",B2-B1
6,1,시청,외부#1,0002-889,"1,2번 출구 사이, B1-1F",B1-1F
7,1,종각,내부#1,0000-506,"종로3가 방면6-4, B2-B1",B2-B1
8,1,종각,내부#2,0000-507,"시청 방면4-4, B2-B1",B2-B1
9,1,종각,외부#1,0000-508,"3번 출구 측, B1-1F",B1-1F
10,1,종각,외부#2,0113-945,"1번 출구 측, B1-1F",B1-1F
11,1,종로3가,내부#1,0000-512,"종로5가 방면5-1, B2-B1",B2-B1
12,1,종로3가,내부#2,0000-513,"종각 방면6-4, B2-B1",B2-B1
13,1,종로3가,외부#1,0073-426,"12,13번 출구 사이, B1-1F",B1-1F
14,1,종로5가,내부#1,0000-533,"동대문(1) 방면8-3, B2-B1",B2-B1
15,1,종로5가,내부#2,0000-534,"종로3가 방면3-2, B2-B1",B2-B1
16,1,종로5가,외부#1,0155-440,"8,9번(지하상가) 출구 사이, B1-1F",B1-1F
17,1,동대문,내부#1,0000-906,"동묘앞 방면10-4, B2-B1",B2-B1
18,1,동대문,내부#2,0000-907,"종로5가 방면2-1, B2-B1",B2-B1
19,1,동대문,외부#1,0000-905,"6번 출구 측, B1-1F",B1-1F
20,1,동묘앞,내부#1,0000-946,"신설동 방면6-2, B1-4F",B1-4F
21,1,동묘앞,내부#2,0000-943,"신설동 방면10-3, B2-BM2-B1",B2-BM2-B1
22,1,동묘앞,내부#3,0000-947,"신설동 방면4-8, B2-B1",B2-B1
23,1,동묘앞,내부#4,0000-948,"동대문(1) 방면7-3, B2-B1",B2-B1
24,1,동묘앞,내부#5,0000-944,"동대문(1) 방면1-2, B2-B1",B2-B1
25,1,동묘앞,외부#1,0000-945,"1,10번 출구 사이, B1-BM-1F",B1-BM-1F
26,1,동묘앞,외부#2,0000-960,"3번 출구 측, B1-1F",B1-1F
27,1,신설동,내부#1,0083-762,"제기동 방면3-4, B2-B1",B2-B1
28,1,신설동,내부#2,0083-764,"동묘앞 방면8-1, B2-B1",B2-B1
29,1,신설동,외부#1,0003-532,"1번 출구 측, B1-1F",B1-1F
30,1,신설동,외부#2,0083-761,"2,3번 출구 사이, B1-1F",B1-1F
31,1,신설동,외부#3,0083-763,"4,5번 출구 사이, B1-1F",B1-1F
32,1,제기동,내부#1,0043-600,"청량리 방면9-4, B2-B1",B2-B1
33,1,제기동,내부#2,0027-701,"신설동 방면2-1, B2-B1",B2-B1
34,1,제기동,외부#1,0093-165,"1번 출구 측, B1-1F",B1-1F
35,1,청량리,외부#1,0027-702,"6번 출구 측, B2-1F",B2-1F
37,1,청량리,외부#2,0158-313,"2번 출구 측, B1-1F",B1-1F
37,2,시청,내부#1,0042-520,"충정로 방면6-2, 을지로입구 방면5-3, B3-B1",B3-B1
38,2,시청,외부#1,0002-886,"9번 출구 측, B1-1F",B1-1F
39,2,을지로입구,내부#1,0003-059,"시청 방면5-3, B2-B1",B2-B1
40,2,을지로입구,내부#2,0003-058,"을지로3가 방면6-2, B2-B1",B2-B1
41,2,을지로입구,외부#1,0124-101,"1번 출구 측, B1-1F",B1-1F
42,2,을지로입구,외부#2,0104-712,"5,6번 출구 사이, B1-1F",B1-1F
43,2,을지로3가,내부#1,0042-132,"을지로입구 방면8-3, B2-B1",B2-B1
44,2,을지로3가,내부#2,0042-133,"을지로4가 방면3-2, B2-B1",B2-B1
45,2,을지로4가,내부#1,0042-130,"을지로3가 방면3-2, B2-B1",B2-B1
46,2,을지로4가,내부#2,0042-131,"동대문역사문화공원 방면8-3, B2-B1",B2-B1
47,2,을지로4가,외부#1,0102-390,"8번 출구 측, B1-1F",B1-1F
48,2,동대문역사문화공원,내부#1,0003-055,"을지로4가 방면8-3, B2-B1",B2-B1
49,2,동대문역사문화공원,내부#2,0003-056,"신당 방면3-2, B2-B1",B2-B1
50,2,동대문역사문화공원,외부#1,0039-324,"1번 출구 측, B1-1F",B1-1F
51,2,신당,외부#1,0004-367,"2번 출구 측, B1-1F",B1-1F
52,2,신당,내부#1,0103-796,"동대문역사문화공원 방면3-4, B2-B1",B2-B1
53,2,신당,내부#2,0103-797,"상왕십리 방면7-4, B2-B1",B2-B1
54,2,상왕십리,내부#1,0042-156,"신당 방면8-1, B2-B1",B2-B1
55,2,상왕십리,내부#2,0042-157,"왕십리 방면3-4, B2-B1",B2-B1
56,2,상왕십리,외부#1,0117-183,"1-1번 출구 측, B1-1F",B1-1F
57,2,왕십리,내부#1,0003-466,"상왕십리 방면3-2, B2-B1",B2-B1
58,2,왕십리,내부#2,0068-689,"한양대 방면3-4, B2-B1",B2-B1
59,2,한양대,내부#1,0042-129,"왕십리 방면3-3, 1F-2F",1F-2F
60,2,한양대,외부#1,0042-128,"4번 출구(육교) 측, 1F-2F",1F-2F
61,2,뚝섬,내부#1,0003-051,"한양대 방면7-1, 2F-3F",2F-3F
62,2,뚝섬,내부#2,0003-050,"성수 방면7-1, 2F-3F",2F-3F
63,2,뚝섬,외부#1,0003-049,"3번 출구 측, 1F-2F",1F-2F
64,2,뚝섬,외부#2,0131-787,"6번 출구 측, 1F-2F",1F-2F
65,2,성수,내부#1,0074-865,"뚝섬 방면7-1, 2F-3F",2F-3F
66,2,성수,내부#2,0074-866,"건대입구 방면4-4, 2F-3F",2F-3F
67,2,성수,외부#1,0039-325,"1번 출구 측, 1F-2F",1F-2F
68,2,성수,외부#2,0039-327,"4번 출구 측, 1F-2F",1F-2F
69,2,신답,내부#1,0039-326,"용두 방면2-4, 1F-2F",1F-2F
70,2,신답,내부#2,0104-461,"용답 방면3-2, 1F-2F",1F-2F
71,2,용두,내부#1,0054-021,"신설동 방면4-3, B2-B1",B2-B1
72,2,용두,내부#2,0054-022,"신답 방면1-1, B2-B1",B2-B1
73,2,용두,외부#1,0054-023,"3번 출구 측, B1-1F",B1-1F
74,2,용두,외부#2,0054-024,"4번 출구 측, B1-1F",B1-1F
75,2,신설동,내부#1,0027-703,"신설동 방면4-4, B2-B1",B2-B1
76,2,신설동,외부#1,0044-516,"9번 출구 측, B1-1F",B1-1F
77,2,건대입구,내부#1,0108-564,"성수 방면5-4, 2F-3F",2F-3F
78,2,건대입구,외부#1,0095-448,"구의 방면7-3, 6번 출구 측, 1F-2F-3F",1F-2F-3F
79,2,구의,내부#1,0028-196,"건대입구 방면4-3, 2F-3F",2F-3F
80,2,구의,외부#1,0028-197,"강변 방면7-2, 2번 출구 측, 1F-2F-3F",1F-2F-3F
81,2,강변,내부#1,0093-166,"구의 방면4-2, 1F-2F",1F-2F
82,2,강변,내부#2,0093-167,"잠실나루 방면7-3, 1F-2F",1F-2F
83,2,잠실나루,내부#1,0012-789,"강변 방면3-4, 1F-2F",1F-2F
84,2,잠실나루,내부#2,0012-790,"잠실 방면8-1, 1F-2F",1F-2F
85,2,잠실,내부#1,0007-841,"잠실나루 방면5-2, B2-B1",B2-B1
86,2,잠실,내부#2,0007-842,"잠실새내 방면6-3, B2-B1",B2-B1
87,2,잠실,외부#1,0065-637,"6번 출구 측, B1-1F",B1-1F
88,2,잠실,외부#2,0089-517,"1번 출구 측, B1-1F",B1-1F
89,2,잠실새내,내부#1,0008-945,"잠실방면7-3, B2-B1",B2-B1
90,2,잠실새내,내부#2,0008-946,"종합운동장 방면4-1, B2-B1",B2-B1
91,2,잠실새내,외부#1,0075-476,"7번 출구 측, B1-1F",B1-1F
92,2,잠실새내,외부#2,0008-670,"2번 출구 측, B1-1F",B1-1F
93,2,종합운동장,내부#1,0008-146,"잠실새내 방면2-4, B2-B1",B2-B1
