호선,역명,호기,승강기번호,설치위치,운행구간
1,서울역,내부#1,1902-362,"C계단 측, B2-B1",B2-B1
1,신설동,외부#2,1903-467,"6번 출구 측, 1F-B1",1F-B1
1,신설동,내부#1,1903-415,"제기동 방면, B2-B1",B2-B1
1,신설동,내부#2,1903-417,"동묘앞 방면, B2-B1",B2-B1
1,신설동,내부#3,1903-416,"연결통로(대합실), B1-B1",B1-B1
1,신설동,내부#4,1903-414,"연결통로(대합실), B1-B1",B1-B1
1,청량리,내부#2,1901-053,"회기 방면8-2, B2-B1",B2-B1
2,한양대,내부#1,1900-169,"뚝섬 방면8-2, 1F-2F",1F-2F
2,용답,내부#2,1900-168,"신답 방면1-4, 1F-2F",1F-2F
2,용답,내부#1,1900-276,"성수 방면2-2, 1F-2F",1F-2F
2,신설동,외부#1,1903-465,"10번 출구 측, B1-1F",B1-1F
2,신설동,내부#1,1903-461,"신설동 방면1-1, B2-B1",B2-B1
2,신설동,내부#2,1903-462,"용두 방면1-1, B2-B1",B2-B1
2,신설동,내부#3,1903-418,"용두 방면4-4, B2-B1",B2-B1
2,신설동,내부#4,1903-463,"환승통로(1,2호선), B1-B1",B1-B1
2,신설동,내부#5,1903-464,"환승통로(1,2호선), B1-B1",B1-B1
2,잠실,내부#1,1901-593,"잠실쇼핑센터 측 연결계단, B1-B1",B1-B1
2,삼성,내부#1,1901-463," 코액스 측 연결계단, B1-B1",B1-B1
2,신정네거리,내부#1,1902-885,"2,3번 출구 측, B2-B1",B2-B1
3,고속터미널,내부#1,1900-502,"환승통로(경부선), B2-B1",B2-B1
3,교대,내부#1,1900-627,"B1층 2,3호선 연결 계단, B1-B1",B1-B1
4,상계,내부#1,1901-032,"당고개 방면3-1, 2F-3F",2F-3F
4,상계,내부#2,1901-033,"노원 방면8-3, 2F-3F",2F-3F
4,창동,내부#3,1902-457,"연결통로(1호선, 2번출구), F2-F3",F2-F3
4,창동,내부#4,1902-455,"연결계단(1호선 노원 방면), F1-F3",F1-F3
4,창동,내부#5,1902-478,"연결계단(1호선 쌍문 방면), F1-F3",F1-F3
4,창동,내부#6,1902-456,"연결통로(1호선, 1번출구), F2-F3",F2-F3
4,사당,내부#1,1903-972,"연결통로(2,4호선, 대합실), B1-M",B1-M
5,까치산,1,1901411,"화곡 방면1-2, B5-B4",B5-B4
5,까치산,2,1901412,"2번 출구 측, B5-B4",B5-B4
5,영등포구청,3,1901375,"영등포시장 방면2-3, B4-B2",B4-B2
5,서대문,1,1900038,"5,6번 출구 사이, B1-F1",B1-F1
5,종로가,1,1900031,"광화문 방면1-1, 을지로4가 방면8-4, B5-B4",B5-B4
5,답십리,1,1900294,"대합실, B2-B1",B2-B1
5,장한평,1,1903443,"대합실, B2-B1",B2-B1
5,광나루,1,1901002,"대합실, B2-B1",B2-B1
5,강동,1,1900-817,"대합실, B4-B3",B4-B3
5,상일동,1,1901918,"대합실(B1, 고덕 방면1-1), B2-B1",B2-B1
5,상일동,2,1901919,"대합실(B1, 강일 방면1-1), B2-B1",B2-B1
5,까치산,3,1901413,"2번 출구 측, B1-F1",B1-F1
5,동대문역사문화공원,1,1900-417,"대합실(6,7번 출구 사이), B3-B2",B3-B2
5,동대문역사문화공원,4,1900-415,"7번 출구 측, B3-B2",B3-B2
6,불광,1,1900413,"환승통로, B2(3호선)-B2(6호선)",B2(3호선)-B2(6호선)
6,불광,2,1900414,"환승통로, B2(3호선)-B2(6호선)",B2(3호선)-B2(6호선)
6,구산,1,1900435,"대합실, B4-B1",B4-B1
6,새절,1,1900434,"증산 방면5-4, B2-B1",B2-B1
6,디지털미디어시티,1,1900229,"증산 방면8-4, B2-B1",B2-B1
6,디지털미디어시티,2,1900230,"월드컵경기장 방면1-1, B2-B1",B2-B1
6,디지털미디어시티,3,1900432,"3번 출구 측, B1-F1",B1-F1
6,합정,1,1903-890,"대합실, B1(6호선)-B1(2호선)",B1(6호선)-B1(2호선)
6,광흥창,1,1902001,"상수 방면8-4, 대흥 방면1-1, B3-B2",B3-B2
6,대흥,2,1900447,"2번 출구 측, B1-1F",B1-1F
