지하철역ID,역명,호선,엘리베이터유무,휘체어리프트유무,유아수유방유무,운임_비운임지역
0150,서울역,1,Y,Y,0,
0151,시청,1,Y,N,0,
0152,종각,1,Y,N,0,
0153,종로3가,1,Y,N,1,비운임
0154,종로5가,1,Y,N,0,비운임
0155,동대문,1,Y,N,1,
0156,신설동,1,Y,Y,0,
0157,제기동,1,Y,N,0,
0158,청량리,1,Y,Y,0,
0159,동묘앞,1,Y,N,0,
0200,까치산,2,N,N,1,
0201,시청,2,Y,N,0,운임
0202,을지로입구,2,Y,N,0,
0203,을지로3가,2,Y,N,0,
0204,을지로4가,2,Y,N,0,
0205,동대문역사문화공원,2,Y,N,0,
0206,신당,2,Y,N,0,
0207,상왕십리,2,Y,N,0,
0208,왕십리,2,Y,N,0,
0209,한양대,2,Y,Y,0,
0210,뚝섬,2,Y,N,0,
0211,성수,2,Y,N,1,운임
0212,건대입구,2,Y,N,0,
0213,구의,2,Y,N,0,
0214,강변,2,Y,N,1,운임
0215,잠실나루,2,Y,N,0,
0216,잠실,2,Y,Y,1,비운임
0217,잠실새내,2,Y,N,0,
0218,종합운동장,2,Y,N,0,
0219,삼성,2,Y,Y,1,비운임
0220,선릉,2,Y,N,0,
0221,역삼,2,Y,N,0,
0222,강남,2,Y,N,1,운임
0223,교대,2,Y,N,0,
0224,서초,2,Y,N,0,
0225,방배,2,Y,N,0,
0226,사당,2,Y,N,0,
0227,낙성대,2,Y,N,0,
0228,서울대입구,2,Y,N,0,
0229,봉천,2,Y,N,0,
0230,신림,2,Y,N,1,운임
0231,신대방,2,Y,N,0,
0232,구로디지털단지,2,Y,N,0,
0233,대림,2,Y,N,1,운임
0234,신도림,2,Y,N,0,
0235,문래,2,Y,N,0,
0236,영등포구청,2,Y,N,1,운임
0237,당산,2,Y,N,0,
0238,합정,2,Y,N,0,
0239,홍대입구,2,Y,N,0,
0240,신촌,2,Y,N,1,비운임
0241,이대,2,Y,N,0,
0242,아현,2,Y,N,0,
0243,충정로,2,Y,N,0,
0244,용답,2,N,Y,0,
0245,신답,2,Y,N,0,
0246,신설동,2,Y,Y,1,운임
0247,도림천,2,Y,N,0,
0248,양천구청,2,Y,N,0,
0249,신정네거리,2,Y,Y,0,
0250,용두,2,Y,N,0,
0309,지축,3,Y,N,0,
0310,구파발,3,Y,N,1,비운임
0311,연신내,3,Y,N,0,
0312,불광,3,Y,N,0,
0313,녹번,3,Y,N,0,
0314,홍제,3,Y,N,0,
0315,무악재,3,Y,N,0,
0316,독립문,3,Y,N,1,비운임
0317,경복궁,3,Y,N,0,
0318,안국,3,Y,N,0,
0319,종로3가,3,Y,N,1,
0320,을지로3가,3,Y,N,0,
0321,충무로,3,N,N,0,
0322,동대입구,3,Y,N,0,
0323,약수,3,Y,N,0,
0324,금호,3,Y,N,0,
0325,옥수,3,Y,N,1,운임
0326,압구정,3,Y,N,0,
0327,신사,3,Y,N,0,
0328,잠원,3,Y,N,0,
0329,고속터미널,3,Y,Y,1,운임
0330,교대,3,Y,Y,0,
0331,남부터미널,3,Y,N,0,
0332,양재,3,Y,N,1,비운임
0333,매봉,3,Y,N,0,
0334,도곡,3,N,N,1,운임
0335,대치,3,Y,N,0,
0336,학여울,3,Y,N,0,
0337,대청,3,Y,N,0,
0338,일원,3,Y,N,0,
0339,수서,3,Y,N,0,
0340,가락시장,3,Y,N,0,
0341,경찰병원,3,Y,N,0,
0342,오금,3,Y,N,0,
0409,당고개,4,Y,N,0,
0410,상계,4,Y,Y,0,
0411,노원,4,Y,N,1,비운임
0412,창동,4,Y,Y,0,
0413,쌍문,4,Y,N,0,
0414,수유,4,Y,N,0,
0415,미아,4,Y,N,0,비운임
0416,미아사거리,4,Y,N,1,
0417,길음,4,Y,N,1,비운임
0418,성신여대입구,4,Y,N,0,
0419,한성대입구,4,Y,N,0,
0420,혜화,4,Y,N,0,
0421,동대문,4,Y,N,0,
0422,동대문역사문화공원,4,Y,N,1,비운임
0423,충무로,4,Y,Y,0,
0424,명동,4,Y,N,0,
0425,회현,4,Y,N,0,
0426,서울역,4,Y,Y,1,비운임
0427,숙대입구,4,Y,N,0,
0428,삼각지,4,Y,N,0,
0429,신용산,4,Y,N,0,
0430,이촌,4,Y,N,1,운임
