철도운영기관명,호선,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,게이트내외(bool)
서울교통공사,1,서울역,지하,1,외,2,지하1층 2번출구 부근,FALSE
서울교통공사,1,시청,지하,1,외,5,지하1층 5번출구 부근,FALSE
서울교통공사,1,종각,지하,1,외,1,지하1층 가게이트 부근 (연결통로 부근/ 시청측),FALSE
서울교통공사,1,종각,지하,1,외,4,지하1층 다게이트 부근 (종로3가측),FALSE
서울교통공사,1,종로3가,지하,1,외,1,지하1층 가게이트 부근,FALSE
서울교통공사,1,종로5가,지하,1,외,8,지하1층 지하상가 연결통로앞,FALSE
서울교통공사,1,동대문,지하,1,외,4,지하1층 4번출입구 부근,FALSE
서울교통공사,1,동묘앞,지상,1,외,2,1층 역무실 부근,FALSE
서울교통공사,1,동묘앞,지하,1,외,3,지하1층 3번출입구 부근,FALSE
서울교통공사,1,동묘앞,지하,1,외,2,하선승강장 7-3지점,FALSE
서울교통공사,1,동묘앞,지하,1,내,3,상선승강장 4-3지점,TRUE
서울교통공사,1,신설동,지하,1,내,1,대합실(지하1층) 역무실 앞,TRUE
서울교통공사,1,제기동,지하,1,외,2,2번출구우측,FALSE
서울교통공사,2,시청,지하,1,내,10,지하1층 9/10번출구 옆,TRUE
서울교통공사,2,시청,지하,2,외,11,지하2층 환승통로,FALSE
서울교통공사,2,을지로입구,지하,1,외,4,지하1층 다게이트 옆,FALSE
서울교통공사,2,을지로3가,지하,1,외,2,지하1층 다게이트 옆,FALSE
서울교통공사,2,을지로4가,지하,1,외,2,지하1층 1/2번 출구 옆,FALSE
서울교통공사,2,동대문역사문화공원,지하,1,내,1,대합실 1층 역무실 앞,TRUE
서울교통공사,2,신당,지하,1,외,2,대합실 1층 22/23번기둥,FALSE
서울교통공사,2,상왕십리,지하,1,외,4,대합실 1층 5/6번출구 앞,FALSE
서울교통공사,2,왕십리,지하,1,외,6,지하1층 6-1번 출구 쪽,FALSE
서울교통공사,2,한양대,지상,2,외,2,고객센터 맞은편,FALSE
서울교통공사,2,뚝섬,지상,2,외,6,역무실 옆,FALSE
서울교통공사,2,성수,지상,2,외,2,대합실 2층 2번출구측  ,FALSE
서울교통공사,2,건대입구,지상,2,내,2,대합실 2층 통로 중앙,TRUE
서울교통공사,2,구의,지상,2,외,2,대합실 2층 통로 중앙,FALSE
서울교통공사,2,강변,지상,1,외,2,대합실 1층 통로 중앙,FALSE
서울교통공사,2,잠실나루,지상,1,외,2,대합실 1층 통로 중앙,FALSE
서울교통공사,2,잠실,지하,1,외,1,대합실 1층 1/2번출구 앞 ,FALSE
서울교통공사,2,잠실새내,지하,1,외,2,대합실 1층 2번출구 앞,FALSE
서울교통공사,2,종합운동장,지하,1,외,1,대합실 1층 1/2번출구 앞 (잠실새내측),FALSE
서울교통공사,2,삼성,지하,1,외,3,대합실 1층 통로 중앙,FALSE
서울교통공사,2,선릉,지하,1,외,1,대합실 1층 1번출구 앞,FALSE
서울교통공사,2,역삼,지하,2,외,3,대합실 2층 통로 중앙,FALSE
서울교통공사,2,강남,지하,1,내,12,대합실 1층 역무실쪽(1/12번출구쪽)/게이트내,TRUE
서울교통공사,2,교대,지하,1,외,4,대합실 1층 1/2/3/4/번출구 쪽,FALSE
서울교통공사,2,서초,지하,1,외,1,대합실1층 (1/2/7/8번 출구쪽)/게이트외,FALSE
서울교통공사,2,방배,지하,1,외,4,서초방면 대합실 끝(1/4번 출구방향)/게이트외,FALSE
서울교통공사,2,사당,지하,1,외,7,지하1층 대합실 7/8번 출구 쪽(낙성대측),FALSE
서울교통공사,2,낙성대,지하,1,외,5,대합실 1층 고객안내부스앞(3/4/5/6번출구쪽),FALSE
서울교통공사,2,서울대입구,지하,1,외,8,대합실 1층 (7/8번출구쪽),FALSE
서울교통공사,2,봉천,지하,1,외,2,대합실1층/ 안내부스맞은편(1/6번출구쪽)게이트외,FALSE
서울교통공사,2,신림,지하,1,내,4,대합실 1층 역무실 맞은편(3/4번출구쪽)/게이트내,TRUE
서울교통공사,2,신대방,지상,2,내,4,대합실 2층 역무실쪽(1/4번출구쪽)/ 게이트내,TRUE
서울교통공사,2,구로디지털단지,지상,2,내,1,지상2층/ 역무실 앞 (게이트내),TRUE
서울교통공사,2,대림,지상,2,내,6,지상2층/ 대합실 중앙(게이트내),TRUE
서울교통공사,2,신도림,지하,1,내,1,지하1층 대합실 (게이트내/ 1번출구방향),TRUE
서울교통공사,2,신도림,지하,1,외,1,지하1층 대합실(게이트외/1번출구방향),FALSE
서울교통공사,2,문래,지하,1,외,3,지하1층 대합실(게이트외/ 2/3번출구방향),FALSE
서울교통공사,2,영등포구청,지하,1,내,2,지하1층 대합실(게이트내/ 환승통로입구),TRUE
서울교통공사,2,당산,지상,2,내,4,지상2층/ 대합실 중앙(게이트내),TRUE
서울교통공사,2,합정,지하,1,내,1,지하1층대합실/ 1/2번출구,TRUE
서울교통공사,2,홍대입구,지하,1,외,2,지하1층대합실/ 2번출구 옆 ,FALSE
서울교통공사,2,신촌,지하,1,외,5,지하1층대합실/ 5번출구 옆 ,FALSE
서울교통공사,2,이대,지하,1,외,5,지하1층 대합실 5번출구 옆,FALSE
서울교통공사,2,아현,지하,1,외,4,지하1층 대합실 이대역방면 끝단,FALSE
서울교통공사,2,충정로,지하,2,외,6,지하2층 아현방면 끝단,FALSE
서울교통공사,2,용두,지하,1,외,5,(내선대합실)5번출구 입구,FALSE
서울교통공사,2,용두,지하,1,외,2,(외선대합실)1/2번 출구 입구,FALSE
서울교통공사,2,신답,지상,1,내,1,1층 대합실,TRUE
서울교통공사,2,도림천,지상,1,외,1,지상1층/ 역무실 옆(게이트외),FALSE
서울교통공사,2,양천구청,지하,1,내,1,지하1층/ 대합실(게이트내/ 신청자량사업소출구 옆),TRUE
서울교통공사,2,신정네거리,지하,1,외,3,지하1층 대합실(게이트외/ 2번/ 3번 출구방향),FALSE
서울교통공사,3,구파발,지하,1,외,4,지하1층 대합실 가 게이트 외부,FALSE
서울교통공사,3,연신내,지하,1,내,3,지하 1층 대합실 라 게이트 내부,TRUE
서울교통공사,3,불광,지하,1,외,3,지하1층 대합실 나 게이트 외부,FALSE
서울교통공사,3,녹번,지하,1,외,5,지하1층 대합실 게이트 외부,FALSE
서울교통공사,3,홍제,지하,2,외,2,지하2층 대합실 다게이트 앞,FALSE
서울교통공사,3,무악재,지하,2,내,1,지하2층 대합실 가게이트 내부,TRUE
서울교통공사,3,독립문,지하,2,내,3,지하2층 대합실 나게이트 내부,TRUE
서울교통공사,3,경복궁,지하,2,내,3,지하2층 대합실 가게이트 내부,TRUE
서울교통공사,3,안국,지하,3,외,4,지하3층 대합실 A계단 방면,FALSE
서울교통공사,3,종로3가,지하,3,내,7,지하3층,TRUE
서울교통공사,3,종로3가,지하,2,내,7,지하2층,TRUE
서울교통공사,3,을지로3가,지하,2,내,3,가 대합실 역무실 아래 지하 2층,TRUE
서울교통공사,3,동대입구,지하,2,내,6,"대합실 2층 ""가"" 게이트 앞",TRUE
서울교통공사,3,약수,지하,1,내,3,(지하1층 게이트 내 대합실),TRUE
서울교통공사,3,금호,지하,1,내,4,지하1층 가 게이트 내 대합실,TRUE
서울교통공사,3,옥수,지상,3,내,3,3층 환승통로측,TRUE
서울교통공사,3,압구정,지하,1,외,5,지하 1층,FALSE
서울교통공사,3,신사,지하,1,내,4,지하 1층,TRUE
서울교통공사,3,잠원,지하,1,내,4,지하1층 게이트 내 대합실,TRUE
서울교통공사,3,교대,지하,1,외,12,대합실1층 역무실 맞은편/게이트외,FALSE
서울교통공사,3,남부터미널,지하,2,내,1,대합실 B2층 역무실 앞,TRUE
서울교통공사,3,양재,지하,1,내,4,대합실 B1층 상선 방향(9-4)/ 게이트 내,TRUE
서울교통공사,3,매봉,지하,1,외,2,대합실 B1층 게이트옆,FALSE
서울교통공사,3,도곡,지하,1,외,4,대합실  B2층  게이트 밬,FALSE
서울교통공사,3,대치,지하,1,내,6,대합실 B1층 역무실 앞,TRUE
서울교통공사,3,학여울,지하,4,외,1,대합실 B4층 외부 E/V 옆 (게이트외),FALSE
서울교통공사,3,대청,지하,2,내,4,대합실  B2층 상선 게이트안,TRUE
서울교통공사,3,일원,지하,1,외,7,대합실 B2층 7번출구옆/ 역무실 앞,FALSE
서울교통공사,3,수서,지하,1,내,2,대합실 B1층 역무실좌측(게이트내),TRUE
서울교통공사,3,가락시장,지하,1,내,2,대합실 B2층 고객상담실앞(게이트내),TRUE
서울교통공사,3,경찰병원,지하,1,내,2,대합실 B1층 역무실 앞(게이트내),TRUE
서울교통공사,3,오금,지하,1,내,2,대합실 B1층 1/2번출구옆(게이트내),TRUE
서울교통공사,3,오금,지하,1,외,2,대합실 B1층 1/2번출구옆(게이트외),FALSE
서울교통공사,4,당고개,지상,1,외,4,대합실 1층 (1/4 출구방향),FALSE
서울교통공사,4,상계,지상,2,내,4,2층 대합실 나게이트 안,TRUE
서울교통공사,4,노원,지상,2,내,9,2층 대합실 나게이트 안,TRUE
서울교통공사,4,창동,지상,2,내,1,2층 대합실 나게이트 안,TRUE
서울교통공사,4,쌍문,지하,1,외,2,지하1층 나환기실 옆,FALSE
서울교통공사,4,수유,지하,1,내,2,대합실 지하1층 역무실 옆(2/8번 출구방향),TRUE
서울교통공사,4,미아,지하,1,외,6,대합실 지하1층 교양휴게실 앞 (3/4번 게이트방향),FALSE
서울교통공사,4,미아사거리,지하,1,외,6,지하1층 역무실 옆,FALSE
서울교통공사,4,길음,지하,1,외,5,지하1층 대합실 가게이트 밖,FALSE
서울교통공사,4,성신여대입구,지하,1,내,4,지하1층 고객 안내부스에서 10m 안쪽,TRUE
서울교통공사,4,혜화,지하,1,외,8,(지하1층 3번출구 방면),FALSE
서울교통공사,4,동대문,지하,2,내,9,지하2층,TRUE
서울교통공사,4,동대문역사문화공원,지하,1,외,8,지하1층 10/11번 기둥앞,FALSE
