철도운영기관,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
서울교통공사,1호선,동대문,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,동묘앞,상행,,(B2)시청방향  5-4,지하2층,지하1층
서울교통공사,1호선,동묘앞,상행,,(B1)청량리방향  6-2,지하1층,지하2층
서울교통공사,1호선,동묘앞,상행,,(B3)청량리방향  9-1,지하3층,지하2층
서울교통공사,1호선,동묘앞,하행,,(B2)청량리방향,지하2층,지하3층
서울교통공사,1호선,동묘앞,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,동묘앞,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,동묘앞,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,동묘앞,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,동묘앞,하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,동묘앞,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,동묘앞,하행,,(B1)시청방향,지하1층,지하2층
서울교통공사,1호선,동묘앞,상행,,(B2)시청방향  2-4,지하2층,지하1층
서울교통공사,1호선,서울역,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,서울역,상행,5,(B1)5번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,서울역,하행,5,(F1)5번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,서울역,하행,4,(F1)4번  출입구 방면,지상1층,지하1층
서울교통공사,1호선,서울역,상행,4,(B1)4번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,서울역,상행,,(B2)시청방향  9-3,지하2층,지하1층
서울교통공사,1호선,서울역,상행,,(B2)4호선연결통로 ,지하2층,지하1층
서울교통공사,1호선,서울역,하행,,(B1)남영방향,지하1층,지하2층
서울교통공사,1호선,제기동,하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,제기동,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,종각,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,종각,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,종로3가,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,종로3가,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,종로3가,하행,14,(F1)14번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,종로3가,상행,14,(B1)14번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,청량리(서울시립대입구),하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,청량리(서울시립대입구),상행,6,(B1)6번 출입구 방면,지하1층,지상1층
서울교통공사,1호선,청량리(서울시립대입구),하행,6,(F1)6번 출입구 방면,지상1층,지하1층
서울교통공사,1호선,청량리(서울시립대입구),상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,2호선,강변(동서울터미널),하행,,(F1)잠실,지상1층,지하2층
서울교통공사,2호선,강변(동서울터미널),상행,,(F2)잠실2-1(),지상2층,지상3층
서울교통공사,2호선,건대입구,상행,6,(F2)6번 출입구 방면,지상2층,지상3층
서울교통공사,2호선,건대입구,하행,6,(F1)6번 출입구 방면,지상1층,지하2층
서울교통공사,2호선,교대(법원·검찰청),하행,6,(F1)6번 출입구 방면,지상1층,지하1층
서울교통공사,2호선,교대(법원·검찰청),상행,6,(B1)6번 출입구 방면,지하1층,지상1층
서울교통공사,2호선,구로디지털단지,상행,5,(F1)5번 출입구 방면,지상1층,지상2층
서울교통공사,2호선,구로디지털단지,하행,5,(F2)5번 출입구 방면,지상2층,지상1층
서울교통공사,2호선,구로디지털단지,상행,2,(F1)2번 출입구 방면,지상1층,지상2층
서울교통공사,2호선,구로디지털단지,하행,3,(F2)3번 출입구 방면,지상2층,지상1층
서울교통공사,2호선,구의(광진구청),하행,2,(F1)2번 출입구 방면,지상1층,지하2층
서울교통공사,2호선,구의(광진구청),상행,4,(F2)4번 출입구 방면,지상2층,지상3층
서울교통공사,2호선,구의(광진구청),하행,4,(F1)4번 출입구 방면,지상1층,지하2층
서울교통공사,2호선,구의(광진구청),상행,1,(F2)1번 출입구 방면,지상2층,지상3층
서울교통공사,2호선,구의(광진구청),하행,1,(F1)1번 출입구 방면,지상1층,지하2층
서울교통공사,2호선,구의(광진구청),상행,2,(F2)2번 출입구 방면,지상2층,지상3층
서울교통공사,2호선,낙성대,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,2호선,낙성대,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,2호선,낙성대,상행,5,(B1)5번 출입구 방면,지하1층,지상1층
서울교통공사,2호선,낙성대,하행,5,(F1)5번 출입구 방면,지상1층,지하1층
서울교통공사,2호선,낙성대,하행,4,(F1)4번 출입구 방면,지상1층,지하1층
서울교통공사,2호선,낙성대,상행,4,(B1)4번 출입구 방면,지하1층,지상1층
서울교통공사,2호선,당산,상행,3,(B2)3번 출입구 방면,지하2층,지상1층
서울교통공사,2호선,대림(구로구청),하행,5,(F2)5번 출입구 방면,지상2층,지상1층
서울교통공사,2호선,대림(구로구청),상행,8,(F1)8번 출입구 방면,지상1층,지상2층
서울교통공사,2호선,대림(구로구청),상행,5,(F1)5번 출입구 방면,지상1층,지상2층
서울교통공사,2호선,대림(구로구청),하행,8,(F2)8번 출입구 방면,지상2층,지상1층
