철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,1호선,동대문,,(B1-B2) 10-4,11,750
서울교통공사,1호선,동대문,,(B1-B2) 2-1,11,750
서울교통공사,1호선,동대문,6,(B1-F1)6번 출입구측,15,1000
서울교통공사,1호선,동묘앞,,(B1-F4)본관건물(상)6-2,15,1000
서울교통공사,1호선,동묘앞,,(B1-B2) 10-3,15,1000
서울교통공사,1호선,동묘앞,,(B2-B1) 4-8,15,1000
서울교통공사,1호선,동묘앞,,(B1-B2) 7-3,15,1000
서울교통공사,1호선,동묘앞,,(B2-B1) 1-2,15,1000
서울교통공사,1호선,동묘앞,1,(B1-F1)1-10번 출입구 사이,15,1000
서울교통공사,1호선,동묘앞,3,(B1-F1)3번 출입구측,15,1000
서울교통공사,1호선,서울역,,(B1-B2)섬식(상) 5-1,11,750
서울교통공사,1호선,서울역,2,(B1-F1)2번 출입구측,13,900
서울교통공사,1호선,서울역,4,(B1-F1)4번 출입구측,15,1000
서울교통공사,1호선,서울역,3,(B1-F1)3번 출입구측,15,1000
서울교통공사,1호선,시청,,(B1-B2) 3-2,15,1000
서울교통공사,1호선,시청,,(B1-B2) 8-3,15,1000
서울교통공사,1호선,시청,1,(B1-F1)1-2번 출입구사이,15,1000
서울교통공사,1호선,신설동,,(B1-B2) 3-4,15,1000
서울교통공사,1호선,신설동,,(B1-B2) 8-1,15,1000
서울교통공사,1호선,신설동,1,(B1-F1)1번 출입구측,15,1000
서울교통공사,1호선,신설동,2,(B1-F1)2/3번 출입구사이,15,1000
서울교통공사,1호선,신설동,4,(B1-F1)4/5번 출입구사이,15,1000
서울교통공사,1호선,제기동,,(B1-B2) 9-4,11,750
서울교통공사,1호선,제기동,,(B1-B2) 2-1,11,750
서울교통공사,1호선,제기동,1,(B1-F1)1번 출입구측,11,750
서울교통공사,1호선,종각,,(B1-B2) 6-4,15,1000
서울교통공사,1호선,종각,,(B1-B2) 4-4,15,1000
서울교통공사,1호선,종각,3,(B1-F1)3번 출입구측,15,1000
서울교통공사,1호선,종각,1,(B1-F1)1번 출입구측,15,1000
서울교통공사,1호선,종로3가,,(B1-B2) 4-4,15,1000
서울교통공사,1호선,종로3가,,(B1-B2) 6-4,15,1000
서울교통공사,1호선,종로3가,12,(B1-F1)12-13번 출입구측,15,1000
서울교통공사,1호선,종로5가,,(B1-B2) 8-3,15,1000
서울교통공사,1호선,종로5가,,(B1-B2) 3-2,15,1000
서울교통공사,1호선,종로5가,8,(B1-F1)8-9번 출입구측,15,1000
서울교통공사,1호선,청량리(서울시립대입구),6,(B2-F1)6번 출입구측,15,1000
서울교통공사,2호선,강남,,(B1-B2) 8-1,15,1000
서울교통공사,2호선,강남,,(B1-B2) 3-4,15,1000
서울교통공사,2호선,강남,1,(B1-F1)1번 출입구측,15,1000
서울교통공사,2호선,강남,10,(B1-F1)10번 출입구측,13,1000
서울교통공사,2호선,강변(동서울터미널),,(F1-F2) 4-2,15,1000
서울교통공사,2호선,강변(동서울터미널),,(F1-F2) 7-3,15,1000
서울교통공사,2호선,건대입구,,(F2-F3)섬식(외)5-4,15,1000
서울교통공사,2호선,건대입구,6,(F2-F3)7-3 ~6번 출입구측,20,1350
서울교통공사,2호선,교대(법원·검찰청),,(B1-B2) 8-4,15,1000
서울교통공사,2호선,교대(법원·검찰청),,(B1-B2) 3-1,15,1000
서울교통공사,2호선,교대(법원·검찰청),5,(B1-F1)5번 출입구측,15,1000
서울교통공사,2호선,구로디지털단지,,(F1-F2) 3-4,11,1000
서울교통공사,2호선,구로디지털단지,,(F2-F3) 7-4,11,1000
서울교통공사,2호선,구로디지털단지,6,(F2-F3)6번 출입구,11,1000
서울교통공사,2호선,구의(광진구청),,(F2-F3)섬식(외)4-3,13,900
서울교통공사,2호선,구의(광진구청),2,(F2-F3)7-2 ~ 2번 출입구측,13,900
서울교통공사,2호선,낙성대,,(B1-B2) 8-2,15,1000
서울교통공사,2호선,낙성대,,(B1-B2) 3-3,15,1000
서울교통공사,2호선,낙성대,6,(B1-F1)6번 출입구측,15,1000
서울교통공사,2호선,당산,,(F2-F3) 8-3,11,750
서울교통공사,2호선,당산,,(F2-F3) 3-2,11,750
서울교통공사,2호선,당산,4,(F1-F2)4번 출입구측,11,750
서울교통공사,2호선,대림(구로구청),7,(F1-F2)7번 출입구측(육교),15,1000
서울교통공사,2호선,대림(구로구청),4,(F1-F2)4번 출입구측(육교),15,1000
서울교통공사,2호선,대림(구로구청),,(F2-F3) 3-2,15,1000
서울교통공사,2호선,대림(구로구청),,(F2-F3) 8-3,15,1000
서울교통공사,2호선,도림천,,(B3-B2)섬식(지) 4-4,11,750
서울교통공사,2호선,도림천,1,(B3-B1)1~2번 출입구사이,11,750
서울교통공사,2호선,동대문역사문화공원,,(B1-B2) 8-3,13,1000
서울교통공사,2호선,동대문역사문화공원,,(B1-B2) 3-2,13,1000
서울교통공사,2호선,동대문역사문화공원,1,(B1-F1)1번 출입구측,17,1000
서울교통공사,2호선,뚝섬,,(F2-F3) 7-1,15,1000
서울교통공사,2호선,뚝섬,,(F2-F3) 7-1,13,1000
서울교통공사,2호선,뚝섬,3,(F1-F2)3번 출입구측,13,1000
서울교통공사,2호선,뚝섬,6,(F1-F2)6번 출입구,15,1000
서울교통공사,2호선,문래,,(B1-B2) 7-4,15,1000
서울교통공사,2호선,문래,,(B1-B2) 4-1,15,1000
서울교통공사,2호선,문래,5,(B1-F1)5번 출입구,15,1000
서울교통공사,2호선,문래,1,(B1-F1)1번 출입구,15,1000
서울교통공사,2호선,방배,,(B1-B2) 8-3,11,750
서울교통공사,2호선,방배,,(B1-B2) 3-1,11,750
서울교통공사,2호선,방배,3,(B1-F1)3번 출입구측,11,750
서울교통공사,2호선,봉천,,(B1-B2)섬식(외)6-3,10,750
서울교통공사,2호선,봉천,4,(B1-F1)4번 출입구측,15,750
서울교통공사,2호선,사당,,(B1-B2)섬식(외)4-4,15,1000
서울교통공사,2호선,사당,14,(B1-F1)14번 출입구측,15,1000
서울교통공사,2호선,사당,6,(B1-F1)6번 출입구측,15,1000
서울교통공사,2호선,삼성(무역센터),,(B1-B2)섬식(외) 3-1,8,600
서울교통공사,2호선,삼성(무역센터),1,(B1-F1)1번 출입구측,15,1000
서울교통공사,2호선,삼성(무역센터),6,(B1-F1)6번 출입구측,15,1000
서울교통공사,2호선,삼성(무역센터),8,(B1-F1)8번 출입구측,13,1000
서울교통공사,2호선,삼성(무역센터),4,(B1-F1)4번 출입구측,15,1000
서울교통공사,2호선,상왕십리,,(B1-B2) 8-1,15,1000
