철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,1호선,동대문,,(B1-B2) 10-4,11 ,750
서울교통공사,1호선,동대문,,(B1-B2) 2-1,11 ,750
서울교통공사,1호선,동대문,6 ,(B1-F1)6번 출입구측,15 ,1000
서울교통공사,1호선,동묘앞,,(B1-F4)본관건물(상)6-2,15 ,1000
서울교통공사,1호선,동묘앞,,(B1-B2) 10-3,15 ,1000
서울교통공사,1호선,동묘앞,,(B2-B1) 4-8,15 ,1000
서울교통공사,1호선,동묘앞,,(B1-B2) 7-3,15 ,1000
서울교통공사,1호선,동묘앞,,(B2-B1) 1-2,15 ,1000
서울교통공사,1호선,동묘앞,1 ,(B1-F1)1-10번 출입구 사이,15 ,1000
서울교통공사,1호선,동묘앞,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,1호선,서울역,,(B1-B2)섬식(상) 5-1,11 ,750
서울교통공사,1호선,서울역,2 ,(B1-F1)2번 출입구측,13 ,900
서울교통공사,1호선,서울역,4 ,(B1-F1)4번 출입구측,15 ,1000
서울교통공사,1호선,서울역,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,1호선,시청,,(B1-B2) 3-2,15 ,1000
서울교통공사,1호선,시청,,(B1-B2) 8-3,15 ,1000
서울교통공사,1호선,시청,1 ,(B1-F1)1-2번 출입구사이,15 ,1000
서울교통공사,1호선,신설동,,(B1-B2) 3-4,15 ,1000
서울교통공사,1호선,신설동,,(B1-B2) 8-1,15 ,1000
서울교통공사,1호선,신설동,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,1호선,신설동,2 ,(B1-F1)2/3번 출입구사이,15 ,1000
서울교통공사,1호선,신설동,4 ,(B1-F1)4/5번 출입구사이,15 ,1000
서울교통공사,1호선,제기동,,(B1-B2) 9-4,11 ,750
서울교통공사,1호선,제기동,,(B1-B2) 2-1,11 ,750
서울교통공사,1호선,제기동,1 ,(B1-F1)1번 출입구측,11 ,750
서울교통공사,1호선,종각,,(B1-B2) 6-4,15 ,1000
서울교통공사,1호선,종각,,(B1-B2) 4-4,15 ,1000
서울교통공사,1호선,종각,3 ,(B1-F1)3번 출입구측,15 ,1000
서울교통공사,1호선,종각,1 ,(B1-F1)1번 출입구측,15 ,1000
서울교통공사,1호선,종로3가,,(B1-B2) 4-4,15 ,1000
서울교통공사,1호선,종로3가,,(B1-B2) 6-4,15 ,1000
서울교통공사,1호선,종로3가,12 ,(B1-F1)12-13번 출입구측,15 ,1000
서울교통공사,1호선,종로5가,,(B1-B2) 8-3,15 ,1000
서울교통공사,1호선,종로5가,,(B1-B2) 3-2,15 ,1000
서울교통공사,1호선,종로5가,8 ,(B1-F1)8-9번 출입구측,15 ,1000
서울교통공사,1호선,청량리(서울시립대입구),6 ,(B2-F1)6번 출입구측,15 ,1000
코레일,1호선,가능(을지대병원),1,(1F) 녹양역 방향 승강장 6-4 출입문 앞,15,1000
코레일,1호선,가능(을지대병원),1,(1F) 의정부역 방향 승강장 5-1 출입문 앞,16,1000
코레일,1호선,가산디지털단지,7,(2F) 7번 출입구 옆,15,1000
코레일,1호선,가산디지털단지,,(2F) 상선 계단,15,1000
코레일,1호선,가산디지털단지,,(2F) 하선 계단,15,1000
코레일,1호선,간석,,(1F) 동암역방향 승강장 6-3 출입문앞,15,1000
코레일,1호선,간석,,(1F) 주안역방향 승강장 5-3 출입문앞,15,1000
코레일,1호선,간석,1,(1F) 1번출구 남광장 계단 옆,15,1000
코레일,1호선,간석,2,(1F) 2번출구 북광장 계단 옆,15,1000
코레일,1호선,개봉,2,(2F) 맞이방  (1F) 2번 출입구 옆,15,1000
코레일,1호선,개봉,1,(2F) 맞이방  (1F) 1번 출입구 옆,15,1000
코레일,1호선,개봉,,(2F) 서울방면 개찰구 내부 (1F) 상행승강장 5-2,15,1000
코레일,1호선,개봉,,(2F) 인천방면 개찰구 내부 (1F) 하행승강장 6-2,15,1000
코레일,1호선,관악,,(1F) 안양역 방향 승강장 진행방향 앞쪽 끝,15,1040
코레일,1호선,관악,2,(1F) 2번 출입구 옆,15,1040
코레일,1호선,관악,1,(1F) 1번 출입구 옆,15,1000
코레일,1호선,광명,2,(1F) 서편 북쪽 수유방 옆 (B1) 2번 통로,40,2600
코레일,1호선,광명,5,(1F) 동편 북쪽 맨끝 (B1) 1번 통로,40,2600
코레일,1호선,광명,4,(1F) 서편 남쪽 맨끝 (B1) 5번 통로,40,2600
코레일,1호선,광명,1,(1F) 서편 북쪽 맨끝 (B1) 1번 통로,40,2600
코레일,1호선,광명,3,(1F) 서편 남쪽 수유방 옆 (B1) 4번 통로,40,2600
코레일,1호선,광명,,(B1) 1번 연결통로 (B2) 상행 승강장,40,2600
코레일,1호선,광명,8,(1F) 동편 남쪽 맨끝 (B1) 5번 통로,40,2600
코레일,1호선,광명,,(B1) 5번 통로 (B2) 상행 승강장,40,2600
코레일,1호선,광명,,(B1) 4번 통로 (B2) 하행 승강장,40,2600
코레일,1호선,광명,,(B1) 3번 통로 (B2) 상행 승강장,40,2600
코레일,1호선,광명,,(B1) 2번 연결통로 (B2) 하행 승강장,40,2600
코레일,1호선,광명,6,(1F) 동편 중앙 (B1) 3번 통로,40,2600
코레일,1호선,광운대,,(B1) 월계역 방향 승강장 계단옆/ (1F) 울계역방향 승강장 4-3 앞,15,1000
코레일,1호선,구로,3,(3F) 3번 출입구 옆,24,1600
코레일,1호선,구로,1,(3F)1번 출구. NC백화점 방향,15,1000
코레일,1호선,구로,,환승통로1번홈,17,1275
코레일,1호선,구로,,환승통로2/3번홈,17,1275
코레일,1호선,구로,,환승통로4/5번홈,17,1275
코레일,1호선,구로,,환승통로6/7번홈,17,1275
코레일,1호선,구로,,환승통로8/9번홈,17,1275
코레일,1호선,구일,2,(1F) 2번출입구/맞이방  (2F) 하행승강장/중선방향,15,1000
코레일,1호선,구일,2,(1F) 2번출입구/맞이방/하행승강장 (2F) 중선방향(2/3번홈),15,1000
코레일,1호선,구일,2,(1F) 2번출입구/맞이방 (2F)하행승강장,15,1000
코레일,1호선,구일,2,(1F) 맞이방 (B1) 2번출입구,20,1600
코레일,1호선,군포,,(1F) 당정역 방향 승강장 2-3 -> (2F) 음료자판기 옆,15,1040
코레일,1호선,군포,,(1F) 금정역 방향 승강장9-2 -> (2F) 종합안내도 옆,15,1040
코레일,1호선,군포,, (1F) 광장 스마트도서관 옆 -> (2F) 1번 출입구 방향 ,15,1000
코레일,1호선,금정,6,(1F) 명학 방향 승강장 3-2 출입문 앞 (2F) 북부 연결통로,15,1000
