철도운영기관,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
서울교통공사,6호선,고려대(종암),상행,,(B4)응암-1,지하4층,지하3층
서울교통공사,6호선,고려대(종암),하행,,(B1)ES4-,지하1층,지하2층
서울교통공사,6호선,고려대(종암),상행,,(B2)ES3-,지하2층,지하1층
서울교통공사,6호선,고려대(종암),상행,,(B2)ES2-,지하2층,지하1층
서울교통공사,6호선,고려대(종암),하행,,(B1)ES1-,지하1층,지하2층
서울교통공사,6호선,고려대(종암),하행,,(B3)봉화산-2,지하3층,지하4층
서울교통공사,6호선,고려대(종암),하행,4,(F1)ES-8,지상1층,지하1층
서울교통공사,6호선,고려대(종암),상행,4,(B1)ES-7,지하1층,지상1층
서울교통공사,6호선,고려대(종암),하행,6,(F1)ES6-,지상1층,지하1층
서울교통공사,6호선,고려대(종암),상행,6,(B1)ES5-,지하1층,지상1층
서울교통공사,6호선,고려대(종암),하행,,(B3)응암-2,지하3층,지하4층
서울교통공사,6호선,고려대(종암),상행,,(B4)봉화산-1,지하4층,지하3층
서울교통공사,6호선,공덕,하행,,(B2)E/S-하선(),지하2층,지하3층
서울교통공사,6호선,공덕,하행,7,(F1)ES-1,지상1층,지하1층
서울교통공사,6호선,공덕,상행,7,(B1)ES-2,지하1층,지상1층
서울교통공사,6호선,공덕,상행,,(B3)E/S-상선(),지하3층,지하2층
서울교통공사,6호선,공덕,하행,,(B2)E/S-상선(),지하2층,지하3층
서울교통공사,6호선,공덕,상행,,(B3)E/S-하선(),지하3층,지하2층
서울교통공사,6호선,광흥창(서강),하행,2,(F1)2번출입구-2,지상1층,지하1층
서울교통공사,6호선,광흥창(서강),상행,2,(B1)2번출입구-1,지하1층,지상1층
서울교통공사,6호선,광흥창(서강),상행,3,(B2)ES-7,지하2층,지하1층
서울교통공사,6호선,광흥창(서강),상행,6,(B2)ES-6,지하2층,지하1층
서울교통공사,6호선,광흥창(서강),상행,2,(B2)ES-5,지하2층,지하1층
서울교통공사,6호선,광흥창(서강),상행,,(B2)ES-4,지하2층,지하1층
서울교통공사,6호선,광흥창(서강),상행,,(B3)ES-2,지하3층,지하2층
서울교통공사,6호선,광흥창(서강),상행,,(B3)ES-1,지하3층,지하2층
서울교통공사,6호선,광흥창(서강),상행,,(B2)ES-3,지하2층,지하1층
서울교통공사,6호선,구산,상행,,(B4)E/S-1,지하4층,지하1층
서울교통공사,6호선,구산,하행,,(B1)E/S-2,지하1층,지하4층
