철도운영기관명,선명,역명,승강장번호,상하행,지상구분,역층,승강장연결 여부,스크린도어 유무,안전발판 유무
의정부경량전철주식회사,의정부경전철,경기도청북부청사,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,경기도청북부청사,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,경전철의정부,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,경전철의정부,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,곤제,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,곤제,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,동오,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,동오,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,발곡,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,발곡,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,범골,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,범골,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,새말,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,새말,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,송산,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,송산,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,어룡(용현산업단지),1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,어룡(용현산업단지),2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,의정부시청,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,의정부시청,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,의정부중앙,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,의정부중앙,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,탑석,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,탑석,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,회룡,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,회룡,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,효자,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,효자,1,상행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,흥선,2,하행,지상,2,Y,Y,N
의정부경량전철주식회사,의정부경전철,흥선,1,상행,지상,2,Y,Y,N
