연번,호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
1,1,서울역(1),E/S,1,1800-448,B2(대)-B1(연결통로),4호선연결통로 상행
2,1,서울역(1),E/S,2,1806-600,섬석 B1(연결통로)-B2(승),남영방향 하행 2-3
3,1,서울역(1),E/S,3,1806-599,섬식 B2(승)-B1(연결통로),시청방향 상행 9-3
4,1,서울역(1),E/S,4,1810-816,B1(대)-지상,4번출구 상행
5,1,서울역(1),E/S,5,1810-817,지상-B1(대),4번출구 하행
6,1,시청(1),E/S,1,1808-119,지상(시청광장)-B1(대),5번출구 하행
7,1,시청(1),E/S,2,1808-120,B1(대)-지상(시청광장),5번출구 상행
8,1,시청(1),E/S,3,1809-239,B1(대)-지상(덕수궁),1번출구 상행
9,1,종각,E/S,1,1810-730,지상-B1(대),1번출구 하행
10,1,종각,E/S,2,1810-729,지상-B1(대),1번출구 상행
11,1,종로3가(1),E/S,1,1806-432,지상-B1(대),1번출구 하행
12,1,종로3가(1),E/S,2,1806-431,B1(대)-지상,1번출구 상행
13,1,종로3가(1),E/S,3,1806-598,지상-B1(대),14번출구 하행
14,1,종로3가(1),E/S,4,1806-597,B1(대)-지상,14번출구 상행
15,1,동대문(1),E/S,1,1809-225,B1(대)-지상,1번출구 상행
16,1,동묘앞,E/S,1,1800-056,B2-B3(6호선연결통로),청량리방향 하행 9-1
17,1,동묘앞,E/S,2,1800-055,B3(6호선연결통로)-B2,청량리방향 상행 9-1
18,1,동묘앞,E/S,3,1800-057,B1(승)-B2(연),청량리방향 상행 6-2
19,1,동묘앞,E/S,4,1800-060,B2(연)-B1(승),시청방향 상행 5-4
20,1,동묘앞,E/S,5,1800-061,B1(승)-B2(연),시청방향 하행 2-4
21,1,동묘앞,E/S,6,1800-062,B2(연)-B1(승),시청방향 상행 2-4
22,1,동묘앞,E/S,7,1800-054,지상-B1(대),1번출구 하행
23,1,동묘앞,E/S,8,1800-053,B1(대)-지상,1번출구 상행
24,1,동묘앞,E/S,9,1800-059,지상-B1(역무실),2번출구 하행
25,1,동묘앞,E/S,10,1800-058,B1(역무실)-지상,2번출구 상행
