고유번호,노선,노선명칭,역명칭,운행방향1,운행방향2,엘리베이터 자막,사용여부,출구정보,전화번호
173,4,4호선,노원,당고개,오이도,승강기 위치는 9번 출구쪽에 있습니다      승강기를 이용하여 2층 대합실로 올라가십시오.      좌측 방향으로 이동하여 우측 개찰구를 통과하십시오.      승강기를 이용하여 승강장으로 올라가십시오.,Y,"||1@상계6.7동 주민센터, 상계7동 치안센터, 상계중학교, 상계 119안전센터, 성민복지관||,||2@노원구청, 신상중학교, 상수초등학교, 한국성서대학교, 상계주공아파트 1-6단지, 기업은행 노원역지점, KDB산업은행, 한국전력공사북부지점, 노원 헌혈의 집||,||3@운전면허시험장,용화여고,||,||4@수협,기업은행,상계초등교,국민은행,||,||9@상계동, 창동지하철차량기지, 도봉운전면허시험장, 용화여고, 상월초등학교, 대림.현대아파트, 상계주공아파트||,||10@상계2동주민센터, 상계10동우체국, 상계초등학교, 온곡중학교, 우성아파트, 동양메이저아파트||",긴급전화(역무실) : 02-6110-4111
245,5,5호선,청구,방화,"상일도,마천",,Y,"||1@신당우체국, 한일은행, 장충초등교, 신흥항공, 국민은행, 문화시장 ||,||2@동화은행, 청구초등교, 신당6동파출소||",긴급전화(역무실) : 02-6311-5371
265,5,5호선,오금,방화,"상일도,마천",,Y,"||1@송파우체국, 오금중학교, 오금동현대아파트 ||,||2@오금공원, 가락현대아파트, 시경제2기동대 ||,||3@성동구치소, 가락2동사무소, 쌍용아파트 ||,||4@송파경찰서, 국립경찰병원 ||,||5@중앙일보사(송파), 하나은행, 농협 ||",긴급전화(역무실) : 02-6311-5571
59,1,1호선,종로5가,소요산,인천,승강기 위치는 8번출구 뒤쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후 승강기를 이용하여 승강장으로 내려가십시오.,Y,"||1@종로4가방면, 서울혜화경찰서, 종로5가 우체국, 중앙선거관리위원회 선거연수원, 서울특별시 선거관리위원회, 국민건강보험공단 종로지사, 서울신용보증재단 동대문지점||,||2@대학로방면||,||3@효제동, 서울특별시 중부교육지원청, 효제초등학교, 종로노인종합복지관||,||4@동대문방면, 종로6가, 효제동, 종로5,6가동주민센터||,||5@동대문방면, 종로6가, 동대문시장||,||6@청계천 5가, 평화시장, 동대문시장||,||7@청계천 5가, 광장,방산시장, 종로5가 지구대||,||8@종로4가 방면, 예지동, 광장시장||",긴급전화(역무실) : 02-6110-1291
64,1,1호선,청량리,소요산,인천,승강기 위치는 6번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      리프트를 이용하여 승강장으로 올라가십시오.,Y,"||1@제기동방면, 경동,동서시장||,||2@홍릉(영휘원)방면, 서울청량리우체국, 동대문경찰서, 기업은행 청량리지점||,||3@동대문세무서, 동대문노인종합복지관, 미주아파트||,||4@청량리역광장||,||5@역전치안센터||,||6@용두1동, 동부청과시장||",긴급전화(역무실) : 02-6110-1241
87,2,2호선,왕십리,시청,시청,승강기 위치는 4번출구 쪽에 있습니다.      상왕십리 방면으로 가실분은 승강기를 이용하여 지하2층으로 내려가십시오.      직진하여 우측 방향으로 이동하시면 승강장이 있습니다.      한양대 방면으로 가실분은 승강기를 이용하여 지하1층 대합실로 내려가십시오.      직진하여 우측 방향으로 이동하신 후 좌측에 있는 개찰구를 통과하십시오.      좌측에 있는 리프트를 이용하여 승강장으로 내려가십시오,Y,"||1@도선동, 한국예술고등학교, 청계천방면, 성동구선거관리위원회||,||2@서울특별시시립장애인치과병원, 성동보건소, 성동구선거관리위원회, 청계천문화회관, 성동외국인근로자센터, 행당119안전센터, 비전플러스직업전문교육센터||,||3@성동구청, 성동경찰서, 대한적십자 서울지사, 청계천문화회관, 성동교육지원청||,||4@사근동,한양여중고,동마중||,||5@마을버스정거장||,||6@한양사대부중,고교, 동마중학교, 한양대학교방면||,||7@삼부아파트||,||8@서울성동경찰서교통정보센터||,||9@행당1동주민센터, 무학여자중,고등학교, 동부수도사업소||,||10@성동우체국, 행당시장||,||11@왕십리2동||",긴급전화(역무실) : 02-6110-2081
130,2,2호선,건대입구,시청,시청,승강기 위치는 1번출구 쪽에 있습니다.      승강기를 이용하여 2층 대합실로 올라가십시오.      정면 방향으로 이동하여 개찰구를 통과하십시오.      리프트를 이용하여 승강장으로 올라가십시오.,Y,"||1@성수사거리, 화양지구대, 화양시장||,||2@건국대학교, 어린이대공원, 화양초등학교, 건대역 헌혈의 집, 기업은행 건대역지점||,||5@자양동방면, 한강시민공원(뚝섬지구), 자양중.고교, 신양초등학교, 동자초등학교, 광진문화예술회관, 노유로데오길||,||6@영동대교, 노룬산시장, 조양시장, 서울특별시여성능력개발원||",긴급전화(역무실) : 02-6110-2121
73,1,1호선,방학,소요산,인천,,Y,"||1@신도봉시장,방학2동사무소,동북서울병원,조흥은행,버스정류장,국민은행,상업은행,초원부페,||,||2@도봉중학교,도봉2동사무소,도봉2동파출소,(주)미원,도봉시장,서원아파트,도봉정보산업고교,창동중학교,창도초등학교,평화은행,미원운동장,도봉소방서,한국통신,우체국,농협,동성웨딩,중소기업은행,방학1동사무소,방학1동파출소,방학사거리,쌍용아파트,정병원,||",긴급전화(역무실) : 02-954-1348
75,1,1호선,도봉산,소요산,인천,,Y,"||1@도봉산국립공원,도봉웨딩홀,도봉한신APT,군인APT,||",긴급전화(역무실) : 031-873-7788
160,3,3호선,고속터미널,대화,수서,승강기 위치는 1번 출구쪽에 있습니다      승강기를 이용하여 지하 2층 대합실로 내려가십시오.      우측에 있는 개찰구를 통과하십시오.      정면에 있는 승강기를 이용하여 승강장으로 내려가십시오,Y,"||1@고속버스,터미널(경부선),||,||2@화물취급소, 반포미도아파트||,||3@조달청,국립중앙도서관,||,||4@호남선,영동선,고속버스터미널||,||7@반포4동, 공정거래위원회, 서울지방조달청, 기획예산처, 국립중앙도서관, 카톨릭대학교 의과대학, 간호대학||,||8@호남선 고속버스터미널, 반포대교 방면, 강남터미널지하상가, 반포 2동, 한신 아파트, 신반포주공아파트||",긴급전화(역무실) : 02-6110-3391
129,2,2호선,구의,시청,시청,승강기 위치는 2번출구 쪽에 있습니다.      3층 승강장으로 올라가십시오.      승강기를 이용하여 2층 대합실로 올라가십시오.      정면으로 이동하신 후 승강기를 이용하여 3층 승강장으로 올라가십시오.,Y,"||1@광진구청, 광진경찰서, 동국대사범대학부속여중.고교, 건대부속중.고교, 국민건강보험 광진지사||,||2@구의1동||,||3@서울동부지방법원, 서울동부지방검찰청, 대한법률구조공단서울동부지사, 광진우체국, 서울무선전신국, 우정사업조달사무소, 동서울우편집중국(후문)||,||4@잠실대교 방면, 자양1동, 우정사업정보센터, 동서울우편집중국(정문), 자양1동주민센터, 자양시장, 한국보건의료인국가시험원||",긴급전화(역무실) : 02-6110-2131
