호선,역명,호기,승강기번호,설치위치,운행구간,운행방향
1,서울역,1,1800-448,"연결통로(4호선), B2-B1",B2-B1,상행
1,서울역,2,1806-600,"남영 방면2-3, B1-B2",B1-B2,하행
1,서울역,3,1806-599,"시청 방면9-3, B2-B1",B2-B1,상행
1,서울역,4,1810-816,"4번 출구 측, B1-1F",B1-1F,상행
1,서울역,5,1810-817,"4번 출구 측, 1F-B1",1F-B1,하행
1,시청,1,1808-119,"5번 출구 측, 1F-B1",1F-B1,하행
1,시청,2,1808-120,"5번 출구 측, B1-1F",B1-1F,상행
1,시청,3,1809-239,"1번 출구 측, B1-1F",B1-1F,상행
1,종각,1,1810-730,"1번 출구 측, 1F-B1",1F-B1,하행
1,종각,2,1810-729,"1번 출구 측, B1-1F",B1-1F,상행
1,종로가,1,1806-432,"1번 출구 측, 1F-B1",1F-B1,하행
1,종로가,2,1806-431,"1번 출구 측, B1-1F",B1-1F,상행
1,종로가,3,1806-598,"14번 출구 측, 1F-B1",1F-B1,하행
1,종로가,4,1806-597,"14번 출구 측, B1-1F",B1-1F,상행
1,동대문,1,1809-225,"1번 출구 측, B1-1F",B1-1F,상행
1,동묘앞,1,1800-056,"신설동 방면9-1, B2-B3",B2-B3,하행
1,동묘앞,2,1800-055,"신설동 방면9-1, B3-B2",B3-B2,상행
1,동묘앞,3,1800-057,"신설동 방면6-2, B2-B1",B2-B1,상행
1,동묘앞,4,1800-060,"동대문 방면5-4, B2-B1",B2-B1,상행
1,동묘앞,5,1800-061,"동대문 방면2-4, B1-B2",B1-B2,하행
1,동묘앞,6,1800-062,"동대문 방면2-4, B2-B1",B2-B1,상행
1,동묘앞,7,1800-054,"1번 출구 측, 1F-B1",1F-B1,하행
1,동묘앞,8,1800-053,"1번 출구 측, B1-1F",B1-1F,상행
1,동묘앞,9,1800-059,"2번 출구 측, 1F-B1",1F-B1,하행
1,동묘앞,10,1800-058,"2번 출구 측, B1-1F",B1-1F,상행
1,동묘앞,11,1800-063,"3번 출구 측, 1F-B1",1F-B1,하행
1,동묘앞,12,1800-064,"3번 출구 측, B1-1F",B1-1F,상행
1,제기동,1,1809-138,"2번 출구 측, 1F-B1",1F-B1,하행
1,제기동,2,1809-139,"2번 출구 측, B1-1F",B1-1F,상행
1,청량리,1,1809-136,"6번 출구 측, 1F-B1",1F-B1,하행
1,청량리,2,1809-137,"6번 출구 측, B1-1F",B1-1F,상행
1,청량리,3,1806-436,"2번 출구 측, 1F-B1",1F-B1,하행
1,청량리,4,1806-435,"2번 출구 측, B1-1F",B1-1F,상행
2,시청,3,1808-578,"대합실(1호선 환승통로 방면), B1-B2",B1-B2,하행
2,시청,4,1808-577,"대합실(1호선 환승통로 방면), B2-B1",B2-B1,상행
2,시청,5,1808-576,"대합실(1호선 환승통로 방면), B1-B2",B1-B2,하행
2,시청,6,1808-575,"대합실(1호선 환승통로 방면), B2-B1",B2-B1,상행
2,을지로입구,1,1801-058,"8번 출구 측, 1F-B1",1F-B1,하행
2,을지로입구,2,1801-059,"8번 출구 측, B1-1F",B1-1F,상행
2,을지로입구,3,1800-931,"1번 출구 측, 1F-연결통로",1F-연결통로,하행
2,을지로입구,4,1800-930,"1번 출구 측, 연결통로-1F",연결통로-1F,상행
2,을지로입구,5,1800-933,"1번 출구 측, B1-연결통로",B1-연결통로,상행
2,을지로입구,6,1800-932,"1번 출구 측, 연결통로-B1",연결통로-B1,하행
2,을지로가,1,1808-584,"5번 출구 측, 1F-B1",1F-B1,하행
2,을지로가,2,1808-583,"5번 출구 측, B1-1F",B1-1F,상행
2,동대문역사문화공원,1,1800-722,"3번 출구 측, 1F-B1",1F-B1,하행
2,동대문역사문화공원,2,1800-723,"3번 출구 측, B1-1F",B1-1F,상행
2,신당,1,1801-299,"3번 출구 측, 1F-B1",1F-B1,하행
2,신당,2,1801-244,"3번 출구 측, B1-1F",B1-1F,상행
2,상왕십리,1,1812-874,"1번 출구 측, 1F-B1",1F-B1,하행
2,상왕십리,2,1812-873,"1번 출구 측, B1-1F",B1-1F,상행
2,상왕십리,3,1812-872,"1번 출구 측, B1-B2",B1-B2,하행
2,상왕십리,4,1812-871,"1번 출구 측, B2-B1",B2-B1,상행
2,상왕십리,5,1809-944,"1-1번 출구 측, 1F-B1",1F-B1,하행
2,상왕십리,6,1809-943,"1-1번 출구 측, B1-1F",B1-1F,상행
2,상왕십리,7,1809-942,"1-1번 출구 측, B1-B2",B1-B2,하행
2,상왕십리,8,1809-941,"1-1번 출구 측, B2-B1",B2-B1,상행
2,왕십리,1,1801-006,"3번 출구 측, 1F-B1",1F-B1,하행
2,왕십리,2,1800-400,"3번 출구 측, B1-1F",B1-1F,상행
2,왕십리,3,1809-216,"상왕십리 방면7-7, B1-B2",B1-B2,하행
2,왕십리,4,1809-217,"상왕십리 방면7-7, B2-B1",B2-B1,상행
2,왕십리,5,1809-218,"한양대 방면2-3, B1-B2",B1-B2,하행
2,왕십리,6,1809-219,"한양대 방면2-3, B2-B1",B2-B1,상행
2,왕십리,7,1808-501,"한양대 방면3-1, B1-B2",B1-B2,하행
2,왕십리,8,1808-502,"한양대 방면3-1, B2-B1",B2-B1,상행
2,한양대,1,1800-556,"1번 출구 측, 2F-1F",2F-1F,하행
2,한양대,2,1800-555,"1번 출구 측, 1F-2F",1F-2F,상행
2,뚝섬,1,1808-121,"5번 출구 측, 2F-1F",2F-1F,하행
2,뚝섬,2,1801-057,"5번 출구 측, 1F-2F",1F-2F,상행
2,뚝섬,3,1800-470,"2번 출구 측, 2F-1F",2F-1F,하행
2,뚝섬,4,1800-471,"2번 출구 측, 1F-2F",1F-2F,상행
2,뚝섬,5,1800-472,"8번 출구 측, 2F-1F",2F-1F,하행
2,뚝섬,6,1800-473,"8번 출구 측, 1F-2F",1F-2F,상행
2,뚝섬,7,1812-506,"3번 출구 측, 2F-1F",2F-1F,하행
2,뚝섬,8,1812-505,"3번 출구 측, 1F-2F",1F-2F,상행
2,성수,1,1809-487,"1번 출구 측, 2F-1F",2F-1F,하행
2,성수,2,1809-486,"1번 출구 측, 1F-2F",1F-2F,상행
2,성수,3,1809-489,"2번 출구 측, 2F-1F",2F-1F,하행
2,성수,4,1809-488,"2번 출구 측, 1F-2F",1F-2F,상행
2,성수,5,1809-490,"3번 출구 측, 2F-1F",2F-1F,하행
2,성수,6,1809-491,"3번 출구 측, 1F-2F",1F-2F,상행
2,성수,7,1809-492,"4번 출구 측, 2F-1F",2F-1F,하행
2,성수,8,1809-493,"4번 출구 측, 1F-2F",1F-2F,상행
2,용두,1,1809-045,"신설동 방면2-4, B2-B1",B2-B1,상행
2,용두,2,1809-046,"신답 방면3-1, B2-B1",B2-B1,상행
2,용두,3,1809-049,"1번 출구 측, 1F-B1",1F-B1,하행
2,용두,4,1809-050,"1번 출구 측, B1-1F",B1-1F,상행
2,용두,5,1809-051,"2번 출구 측, 1F-B1",1F-B1,하행
