선명,역명칭,환승선명,환승이후역명,weight,엘리베이터,리프트,전화번호,휠체어경사로
1호선,청량리(서울시립대입구),경의중앙,왕십리,1,,,,
1호선,청량리(서울시립대입구),경의중앙,회기,1,,,,
1호선,신설동,2호선,용두,1,1,,,
1호선,신설동,우이신설,보문,1,1,,,
1호선,동묘앞,6호선,신당,1,1,,,
1호선,동묘앞,6호선,창신,1,1,,,
1호선,동대문,4호선,동대문역사문화공원,1,1,,,
1호선,동대문,4호선,혜화,1,1,,,
1호선,종로3가,5호선,을지로4가,1,1,,,
1호선,종로3가,5호선,광화문(세종문화회관),1,1,,,
1호선,종로3가,3호선,을지로3가,1,1,,,
1호선,종로3가,3호선,안국,1,1,,,
1호선,시청,2호선,을지로입구,1,1,,,
1호선,시청,2호선,충정로(경기대입구),1,1,,,
1호선,서울역,4호선,회현,1,1,,,
1호선,서울역,4호선,숙대입구,1,1,,,
1호선,서울역,공항철도,공덕,1,1,,,
1호선,서울역,경의중앙,신촌,1,1,,,
2호선,시청,1호선,종각,1,1,,,
2호선,시청,1호선,서울역,1,1,,,
2호선,을지로3가,3호선,종로3가,1,1,,,
2호선,을지로3가,3호선,충무로,1,1,,,
2호선,을지로4가,5호선,종로3가(탑골공원),1,1,,,
2호선,을지로4가,5호선,동대문역사문화공원,1,1,,,
2호선,동대문역사문화공원,4호선,동대문,1,1,,,
2호선,동대문역사문화공원,4호선,충무로,1,1,,,
2호선,동대문역사문화공원,5호선,을지로4가,1,1,,,
2호선,동대문역사문화공원,5호선,청구,1,1,,,
2호선,신당,6호선,청구,1,1,,,
2호선,신당,6호선,동묘앞,1,1,,,
2호선,왕십리,경의중앙,응봉,1,1,,,
2호선,왕십리,경의중앙,청량리,1,1,,,
2호선,왕십리,5호선,행당,1,1,,,
2호선,왕십리,5호선,마장,1,1,,,
2호선,왕십리,수인분당,압구정로데오,1,1,,,
2호선,건대입구,7호선,뚝섬유원지,1,1,,,
2호선,건대입구,7호선,어린이대공원,1,1,,,
2호선,잠실(송파구청),8호선,석촌,1,1,,,
2호선,잠실(송파구청),8호선,몽촌토성(평화의문),1,1,,,
2호선,종합운동장,9호선,봉은사,1,1,,,
2호선,종합운동장,9호선,사평,1,1,,,
2호선,선릉,수인분당,선정릉,1,1,,,
2호선,선릉,수인분당,한티,1,1,,,
2호선,강남,신분당선,양재(서초구청),1,1,,,
2호선,교대(법원·검찰청),3호선,고속터미널,1,1,,,
2호선,교대(법원·검찰청),3호선,남부터미널(예술의전당),1,1,,,
2호선,사당,4호선,총신대입구(이수),1,1,,,
2호선,사당,4호선,남태령,1,1,,,
2호선,대림(구로구청),7호선,신풍,1,1,,,
2호선,대림(구로구청),7호선,남구로,1,1,,,
2호선,신도림,1호선,영등포,1,1,,,
2호선,신도림,1호선,구로,1,1,,,
2호선,신도림,2호선,문래,1,1,,,
2호선,신도림,2호선,대림(구로구청),1,1,,,
2호선,신도림,2호선,도림천,1,1,,,
2호선,영등포구청,5호선,양평,1,1,,,
2호선,영등포구청,5호선,영등포시장,1,1,,,
2호선,당산,9호선,선유도,1,1,,,
2호선,당산,9호선,국회의사당,1,1,,,
2호선,합정,6호선,상수,1,1,,,
2호선,합정,6호선,망원,1,1,,,
2호선,홍대입구,공항철도,공덕,1,1,,,
2호선,홍대입구,공항철도,디지털미디어시티,1,1,,,
2호선,홍대입구,경의중앙,서강대,1,1,,,
2호선,홍대입구,경의중앙,가좌,1,1,,,
2호선,충정로(경기대입구),5호선,애오개,1,1,,,
2호선,충정로(경기대입구),5호선,서대문,1,1,,,
3호선,연신내,6호선,구산,1,1,,,
3호선,연신내,6호선,독바위,1,1,,,
3호선,불광,6호선,역촌,1,1,,,
3호선,불광,6호선,독바위,1,1,,,
3호선,종로3가,1호선,종로5가,1,1,,,
3호선,종로3가,5호선,을지로4가,1,1,,,
3호선,종로3가,5호선,광화문(세종문화회관),1,1,,,
3호선,종로3가,1호선,종각,1,1,,,
3호선,을지로3가,2호선,을지로입구,1,1,,,
3호선,을지로3가,2호선,을지로4가,1,1,,,
3호선,충무로,4호선,동대문역사문화공원,1,1,,,
3호선,충무로,4호선,명동,1,1,,,
3호선,약수,6호선,버티고개,1,1,,,
3호선,약수,6호선,청구,1,1,,,
3호선,옥수,경의중앙,응봉,1,1,,,
3호선,옥수,경의중앙,한남,1,1,,,
3호선,고속터미널,7호선,내방,1,1,,,
3호선,고속터미널,7호선,반포,1,1,,,
3호선,고속터미널,9호선,신반포,1,1,,,
3호선,고속터미널,9호선,사평,1,1,,,
3호선,교대(법원·검찰청),2호선,강남,1,1,,,
3호선,교대(법원·검찰청),2호선,서초,1,1,,,
3호선,양재(서초구청),신분당선,양재시민의숲(매헌),1,1,,,
3호선,양재(서초구청),신분당선,강남,1,1,,,
3호선,도곡,수인분당,구룡,1,1,,,
3호선,도곡,수인분당,한티,1,1,,,
3호선,수서,수인분당,복정,1,1,,,
3호선,수서,수인분당,대모산입구,1,1,,,
3호선,가락시장,8호선,송파,1,1,,,
3호선,가락시장,8호선,문정,1,1,,,
3호선,오금,5호선,방이,1,1,,,
3호선,오금,5호선,개롱,1,1,,,
4호선,노원,7호선,중계,1,1,,,
4호선,노원,7호선,마들,1,1,,,
4호선,창동,1호선,녹천,1,1,,,
4호선,창동,1호선,방학,1,1,,,
4호선,성신여대입구(돈암),우이신설,보문,1,,,,
4호선,성신여대입구(돈암),우이신설,정릉,1,,,,
4호선,동대문,1호선,종로5가,1,1,,,
4호선,동대문,1호선,동묘앞,1,1,,,
4호선,동대문역사문화공원,2호선,을지로입구,1,1,,,
4호선,동대문역사문화공원,2호선,신당,1,1,,,
4호선,동대문역사문화공원,5호선,청구,1,1,,,
4호선,동대문역사문화공원,5호선,을지로4가,1,1,,,
4호선,충무로,3호선,을지로3가,1,1,,,
4호선,충무로,3호선,동대입구,1,1,,,
4호선,서울역,경의중앙,신촌,1,1,,,
4호선,서울역,경의중앙,서울역,1,1,,,
4호선,서울역,공항철도,공덕,1,1,,,
4호선,서울역,1호선,남영,1,1,,,
4호선,서울역,1호선,시청,1,1,,,
4호선,삼각지,6호선,효창공원앞,1,1,,,
4호선,삼각지,6호선,녹사평,1,1,,,
4호선,이촌(국립중앙박물관),경의중앙,서빙고,1,1,,,
4호선,이촌(국립중앙박물관),경의중앙,용산,1,1,,,
4호선,동작(현충원),9호선,흑석,1,1,,,
4호선,동작(현충원),9호선,구반포,1,1,,,
4호선,총신대입구(이수),7호선,내방,1,1,,,
4호선,총신대입구(이수),7호선,남성,1,1,,,
4호선,사당,2호선,방배,1,1,,,
4호선,사당,2호선,낙성대,1,1,,,
2호선,까치산,5호선,화곡,1,1,,,
2호선,까치산,5호선,신정(은행정),1,1,,,
2호선,신설동,1호선,제기동,1,1,,,
2호선,신설동,1호선,동묘앞,1,1,,,
2호선,신설동,우이신설,보문,1,1,,,
5호선,김포공항,9호선,개화,1,1,,,
5호선,김포공항,공항철도,계양,1,1,,,
5호선,김포공항,공항철도,디지털미디어시티,1,1,,,
5호선,김포공항,9호선,공항시장,1,1,,,
5호선,까치산,2호선,신정네거리,1,1,,,
5호선,영등포구청,2호선,문래,1,1,,,
5호선,영등포구청,2호선,당산,1,1,,,
5호선,신길,1호선,대방,1,1,,,
5호선,신길,1호선,영등포,1,1,,,
5호선,여의도,9호선,국회의사당,1,1,,,
5호선,여의도,9호선,샛강,1,1,,,
5호선,공덕,6호선,효창공원앞,1,1,,,
5호선,공덕,6호선,대흥,1,1,,,
5호선,공덕,경의중앙,서강대,1,1,,,
5호선,공덕,공항철도,홍대입구,1,1,,,
5호선,공덕,공항철도,서울역,1,1,,,
5호선,충정로(경기대입구),2호선,시청,1,1,,,
5호선,충정로(경기대입구),2호선,아현,1,1,,,
5호선,종로3가(탑골공원),1호선,종로5가,1,1,,,
5호선,종로3가(탑골공원),1호선,종각,1,1,,,
5호선,종로3가(탑골공원),3호선,안국,1,1,,,
