"지하철역ID","지하철역명","호선","엘리베이터유무","휘체어리프트유무","환승주차자유무","자전거보관소유무","무인민원발급기유무","환전키오스크유무","기차예매역유무","문화공간유무","문화공간유무","유아수유방유무"
"0150","서울역","01호선","Y","Y","N","","N","N","N","N","Y","N"
"0151","시청","01호선","Y","N","N","","N","N","N","N","Y","N"
"0152","종각","01호선","Y","N","N","","Y","N","N","N","N","N"
"0153","종로3가","01호선","Y","N","N","","N","N","N","Y","N","Y"
"0154","종로5가","01호선","Y","N","N","","N","N","N","N","N","N"
"0155","동대문","01호선","Y","N","N","","N","N","N","N","Y","Y"
"0156","신설동","01호선","Y","Y","N","","N","N","N","N","N","N"
"0157","제기동","01호선","Y","N","N","","N","N","N","N","N","N"
"0158","청량리","01호선","Y","Y","N","","N","N","Y","N","N","N"
"0159","동묘앞","01호선","Y","N","N","","N","N","N","N","N","N"
"0200","까치산","02호선","N","N","N","","Y","N","N","N","N","Y"
"0201","시청","02호선","Y","N","N","","N","N","N","N","N","N"
"0202","을지로입구","02호선","Y","N","N","","N","Y","N","N","N","N"
"0203","을지로3가","02호선","Y","N","N","","N","Y","N","N","N","N"
"0204","을지로4가","02호선","Y","N","N","","N","N","N","N","Y","N"
"0205","동대문역사문화공원","02호선","Y","N","N","","N","Y","N","N","N","N"
"0206","신당","02호선","Y","N","N","","N","N","N","N","Y","N"
"0207","상왕십리","02호선","Y","N","N","","N","N","N","N","Y","N"
"0208","왕십리","02호선","Y","N","N","","N","N","N","N","Y","N"
"0209","한양대","02호선","Y","Y","N","","N","N","N","N","Y","N"
"0210","뚝섬","02호선","Y","N","N","","N","N","N","N","Y","N"
"0211","성수","02호선","Y","N","N","","N","N","N","Y","Y","Y"
"0212","건대입구","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0213","구의","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0214","강변","02호선","Y","N","N","","N","N","N","N","N","Y"
"0215","잠실나루","02호선","Y","N","Y","","N","N","N","N","Y","N"
"0216","잠실","02호선","Y","Y","N","","N","Y","N","N","N","Y"
"0217","잠실새내","02호선","Y","N","N","","N","N","N","N","Y","N"
"0218","종합운동장","02호선","Y","N","N","","N","N","N","Y","Y","N"
"0219","삼성","02호선","Y","Y","N","","Y","Y","N","N","N","Y"
"0220","선릉","02호선","Y","N","N","","Y","N","N","Y","N","N"
"0221","역삼","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0222","강남","02호선","Y","N","N","","Y","Y","N","N","N","Y"
"0223","교대","02호선","Y","N","N","","N","N","N","N","Y","N"
"0224","서초","02호선","Y","N","N","","N","N","N","N","Y","N"
"0225","방배","02호선","Y","N","N","","N","N","N","N","Y","N"
"0226","사당","02호선","Y","N","N","","N","N","N","Y","Y","N"
"0227","낙성대","02호선","Y","N","N","","Y","N","N","N","Y","N"
"0228","서울대입구","02호선","Y","N","N","","Y","N","N","Y","Y","N"
"0229","봉천","02호선","Y","N","N","","Y","N","N","N","N","N"
"0230","신림","02호선","Y","N","Y","","Y","N","N","N","Y","Y"
"0231","신대방","02호선","Y","N","Y","","N","N","N","N","Y","N"
"0232","구로디지털단지","02호선","Y","N","Y","","N","N","N","N","Y","N"
"0233","대림","02호선","Y","N","N","","N","N","N","N","Y","Y"
